date,ensemble_signal,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,0.000899,1,-0.000064,0,-0.000064,-0.000064,-0.000064
2025-12-26,0.000381,1,-0.004852,0,-0.004852,-0.004916,-0.004916
2025-12-29,0.000942,1,-0.002322,0,-0.002322,-0.007238,-0.007238
2025-12-30,0.001272,1,-0.008300,0,-0.008300,-0.015538,-0.015538
2025-12-31,0.001247,1,-0.001939,0,-0.001939,-0.017477,-0.017477
2026-01-02,0.005078,1,0.007912,1,0.007912,-0.009565,-0.009565
2026-01-05,-0.000196,-1,0.008748,0,-0.008748,-0.018313,-0.000817
2026-01-06,0.001182,1,0.000962,1,0.000962,-0.017351,0.000145
2026-01-07,0.001723,1,-0.005705,0,-0.005705,-0.023056,-0.005560
2026-01-08,0.003975,1,0.009911,1,0.009911,-0.013145,0.004351
2026-01-09,0.003306,1,0.000829,1,0.000829,-0.012316,0.005180
2026-01-12,0.002296,1,-0.001484,0,-0.001484,-0.013800,0.003696
2026-01-13,0.005237,1,-0.010740,0,-0.010740,-0.024540,-0.007044
2026-01-14,0.006941,1,0.003593,1,0.003593,-0.020947,-0.003451
2026-01-15,0.003962,1,-0.000837,0,-0.000837,-0.021784,-0.004288
2026-01-16,0.010883,1,-0.021476,0,-0.021476,-0.043260,-0.025764
2026-01-20,0.002823,1,0.013428,1,0.013428,-0.029832,-0.012336
2026-01-21,0.004220,1,0.007243,1,0.007243,-0.022589,-0.005093
2026-01-22,-0.000836,-1,0.003152,0,-0.003152,-0.025741,-0.001941
2026-01-23,0.002098,1,0.004390,1,0.004390,-0.021351,0.002449
2026-01-26,-0.001190,-1,0.009024,0,-0.009024,-0.030375,0.011473
2026-01-27,0.002515,1,0.003306,1,0.003306,-0.027069,0.014779
2026-01-28,0.001117,1,-0.006003,0,-0.006003,-0.033072,0.008776
2026-01-29,0.000960,1,-0.012084,0,-0.012084,-0.045156,-0.003308
2026-01-30,0.010631,1,0.006843,1,0.006843,-0.038313,0.003535
2026-02-02,0.001809,1,-0.015483,0,-0.015483,-0.053796,-0.011948
2026-02-03,-0.000186,-1,-0.017623,1,0.017623,-0.036173,-0.029571
2026-02-04,0.001853,1,-0.014500,0,-0.014500,-0.050673,-0.044071
2026-02-05,0.004615,1,0.020918,1,0.020918,-0.029755,-0.023153
2026-02-06,0.001115,1,0.007631,1,0.007631,-0.022124,-0.015522
2026-02-09,-0.003815,-1,-0.004650,1,0.004650,-0.017474,-0.020172
2026-02-10,0.006247,1,0.002678,1,0.002678,-0.014796,-0.017494
2026-02-11,0.000241,1,-0.020549,0,-0.020549,-0.035345,-0.038043
2026-02-12,0.007292,1,0.002129,1,0.002129,-0.033216,-0.035914
2026-02-13,-0.000573,-1,-0.001031,1,0.001031,-0.032185,-0.036945
2026-02-17,0.005043,1,0.007439,1,0.007439,-0.024746,-0.029506
2026-02-18,-0.004326,-1,-0.003837,1,0.003837,-0.020909,-0.033343
2026-02-19,0.002873,1,0.008810,1,0.008810,-0.012099,-0.024533
2026-02-20,0.008967,1,-0.012229,0,-0.012229,-0.024328,-0.036762
2026-02-23,0.003813,1,0.010684,1,0.010684,-0.013644,-0.026078
2026-02-24,0.008994,1,0.014389,1,0.014389,0.000745,-0.011689
2026-02-25,0.004914,1,-0.012138,0,-0.012138,-0.011393,-0.023827
2026-02-26,0.007363,1,-0.003206,0,-0.003206,-0.014599,-0.027033
2026-02-27,0.000376,1,0.001316,1,0.001316,-0.013283,-0.025717
2026-03-02,0.006637,1,-0.010763,0,-0.010763,-0.024046,-0.036480
2026-03-03,0.000126,1,0.015128,1,0.015128,-0.008918,-0.021352
2026-03-04,-0.002790,-1,-0.003017,1,0.003017,-0.005901,-0.024369
2026-03-05,-0.001202,-1,-0.015158,1,0.015158,0.009257,-0.039527
2026-03-06,-0.000928,-1,0.013267,0,-0.013267,-0.004010,-0.026260
2026-03-09,-0.002083,-1,0.000016,0,-0.000016,-0.004026,-0.026244
2026-03-10,0.003023,1,-0.000132,0,-0.000132,-0.004158,-0.026376
2026-03-11,-0.000569,-1,-0.017312,1,0.017312,0.013154,-0.043688
2026-03-12,0.002582,1,-0.005945,0,-0.005945,0.007209,-0.049633
2026-03-13,0.003542,1,0.011155,1,0.011155,0.018364,-0.038478
2026-03-16,0.005059,1,0.004868,1,0.004868,0.023232,-0.033610
2026-03-17,0.004554,1,-0.014038,0,-0.014038,0.009194,-0.047648
2026-03-18,0.003122,1,-0.003165,0,-0.003165,0.006029,-0.050813
2026-03-19,0.001923,1,-0.018655,0,-0.018655,-0.012626,-0.069468
2026-03-20,0.003692,1,0.011414,1,0.011414,-0.001212,-0.058054
2026-03-23,0.002864,1,-0.006860,0,-0.006860,-0.008072,-0.064914
2026-03-24,0.004783,1,0.006554,1,0.006554,-0.001518,-0.058360
2026-03-25,0.003091,1,-0.024157,0,-0.024157,-0.025675,-0.082517
2026-03-26,0.009634,1,-0.019730,0,-0.019730,-0.045405,-0.102247
2026-03-27,0.009291,1,-0.007673,0,-0.007673,-0.053078,-0.109920
2026-03-30,0.017129,1,0.033293,1,0.033293,-0.019785,-0.076627
2026-03-31,0.011012,1,0.012277,1,0.012277,-0.007508,-0.064350
2026-04-01,0.006320,1,0.001146,1,0.001146,-0.006362,-0.063204
2026-04-02,0.005573,1,0.005999,1,0.005999,-0.000363,-0.057205
2026-04-06,0.003748,1,0.000153,1,0.000153,-0.000210,-0.057052
2026-04-07,0.001453,1,0.029299,1,0.029299,0.029089,-0.027753
