date,pred_ret_1d,pred_ret_5d,logvar_1d,pred_direction,actual_ret_1d,actual_direction,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-01,-0.008983,-0.003468,0.174281,-1,0.007796,1,0,-0.007796,-0.007796,0.007796
2025-12-02,-0.007448,0.000576,0.172271,-1,0.002441,1,0,-0.002441,-0.010236,0.010236
2025-12-03,-0.004057,-0.001311,0.172015,-1,-0.000931,-1,1,0.000931,-0.009306,0.009306
2025-12-04,-0.005155,-0.002253,0.170937,-1,0.004069,1,0,-0.004069,-0.013375,0.013375
2025-12-05,0.000394,-0.004580,0.175052,1,-0.001920,-1,0,-0.001920,-0.015295,0.011455
2025-12-08,-0.009057,-0.005509,0.174280,-1,0.001233,1,0,-0.001233,-0.016528,0.012687
2025-12-09,-0.002374,-0.010705,0.174918,-1,0.004087,1,0,-0.004087,-0.020615,0.016774
2025-12-10,-0.000570,0.002902,0.196330,-1,-0.003240,-1,1,0.003240,-0.017375,0.013535
2025-12-11,-0.004882,0.001281,0.180961,-1,-0.019303,-1,1,0.019303,0.001928,-0.005769
2025-12-12,0.013155,0.028273,0.157023,1,-0.005032,-1,0,-0.005032,-0.003104,-0.010801
2025-12-15,0.012888,0.019463,0.161790,1,0.001980,1,1,0.001980,-0.001124,-0.008821
2025-12-16,0.017239,0.012028,0.147580,1,-0.018711,-1,0,-0.018711,-0.019835,-0.027532
2025-12-17,0.014665,0.009434,0.144570,1,0.014386,1,1,0.014386,-0.005449,-0.013146
2025-12-18,0.005158,-0.009256,0.160433,1,0.012951,1,1,0.012951,0.007502,-0.000194
2025-12-19,-0.007352,-0.004846,0.194611,-1,0.004782,1,0,-0.004782,0.002720,0.004588
2025-12-22,-0.006832,-0.004335,0.196592,-1,0.004672,1,0,-0.004672,-0.001952,0.009260
2025-12-23,-0.007718,-0.011582,0.184971,-1,0.002921,1,0,-0.002921,-0.004874,0.012181
2025-12-24,-0.002178,0.001047,0.184444,-1,-0.000064,-1,1,0.000064,-0.004810,0.012117
2025-12-26,-0.011100,-0.001172,0.181605,-1,-0.004852,-1,1,0.004852,0.000043,0.007265
2025-12-29,0.000441,0.017444,0.189825,1,-0.002322,-1,0,-0.002322,-0.002279,0.004943
2025-12-30,-0.000377,0.003384,0.176013,-1,-0.008300,-1,1,0.008300,0.006021,-0.003357
2025-12-31,0.008852,0.005000,0.181654,1,-0.001939,-1,0,-0.001939,0.004082,-0.005296
2026-01-02,-0.001430,0.009549,0.187920,-1,0.007912,1,0,-0.007912,-0.003830,0.002615
2026-01-05,-0.005772,0.004361,0.180300,-1,0.008748,1,0,-0.008748,-0.012578,0.011364
2026-01-06,-0.008420,0.002343,0.168163,-1,0.000962,1,0,-0.000962,-0.013540,0.012326
2026-01-07,-0.008139,-0.009814,0.160156,-1,-0.005705,-1,1,0.005705,-0.007835,0.006620
2026-01-08,-0.008854,0.001371,0.173400,-1,0.009911,1,0,-0.009911,-0.017746,0.016531
2026-01-09,-0.010748,-0.011540,0.166712,-1,0.000829,1,0,-0.000829,-0.018575,0.017361
2026-01-12,-0.009079,-0.007741,0.180209,-1,-0.001484,-1,1,0.001484,-0.017091,0.015877
2026-01-13,-0.009936,-0.000517,0.173379,-1,-0.010740,-1,1,0.010740,-0.006351,0.005137
2026-01-14,-0.010752,0.008092,0.172224,-1,0.003593,1,0,-0.003593,-0.009944,0.008729
2026-01-15,-0.012946,0.015310,0.179411,-1,-0.000837,-1,1,0.000837,-0.009107,0.007893
2026-01-16,-0.006455,0.020640,0.196072,-1,-0.021476,-1,1,0.021476,0.012369,-0.013583
2026-01-20,-0.010348,0.009109,0.146385,-1,0.013428,1,0,-0.013428,-0.001059,-0.000155
2026-01-21,-0.019530,0.003560,0.167103,-1,0.007243,1,0,-0.007243,-0.008302,0.007088
2026-01-22,-0.027193,0.001133,0.210694,-1,0.003152,1,0,-0.003152,-0.011455,0.010240
2026-01-23,-0.021215,0.008665,0.197418,-1,0.004390,1,0,-0.004390,-0.015845,0.014631
2026-01-26,-0.021078,-0.012315,0.174046,-1,0.009024,1,0,-0.009024,-0.024869,0.023655
2026-01-27,0.000472,0.014439,0.172290,1,0.003306,1,1,0.003306,-0.021563,0.026961
2026-01-28,-0.008317,-0.013097,0.176391,-1,-0.006003,-1,1,0.006003,-0.015560,0.020958
2026-01-29,-0.011346,-0.004346,0.177633,-1,-0.012084,-1,1,0.012084,-0.003477,0.008874
2026-01-30,0.011672,0.015221,0.158702,1,0.006843,1,1,0.006843,0.003366,0.015717
2026-02-02,0.006492,0.014289,0.198424,1,-0.015483,-1,0,-0.015483,-0.012117,0.000234
2026-02-03,-0.003595,0.002806,0.159661,-1,-0.017623,-1,1,0.017623,0.005506,-0.017389
2026-02-04,-0.003362,0.007863,0.160620,-1,-0.014500,-1,1,0.014500,0.020006,-0.031889
2026-02-05,0.003158,0.009830,0.167314,1,0.020918,1,1,0.020918,0.040924,-0.010972
2026-02-06,-0.017702,0.003729,0.174954,-1,0.007631,1,0,-0.007631,0.033293,-0.003341
2026-02-09,-0.023803,0.016955,0.190824,-1,-0.004650,-1,1,0.004650,0.037943,-0.007991
2026-02-10,-0.015669,0.021821,0.166710,-1,0.002678,1,0,-0.002678,0.035265,-0.005313
2026-02-11,-0.022330,0.008764,0.175751,-1,-0.020549,-1,1,0.020549,0.055813,-0.025861
2026-02-12,0.016885,0.025312,0.146496,1,0.002129,1,1,0.002129,0.057942,-0.023732
2026-02-13,-0.032275,0.011814,0.168818,-1,-0.001031,-1,1,0.001031,0.058973,-0.024763
2026-02-17,0.008121,0.003712,0.176375,1,0.007439,1,1,0.007439,0.066412,-0.017324
2026-02-18,-0.023800,-0.007201,0.170415,-1,-0.003837,-1,1,0.003837,0.070249,-0.021161
2026-02-19,-0.017287,-0.014992,0.171103,-1,0.008810,1,0,-0.008810,0.061439,-0.012351
2026-02-20,-0.022814,-0.002536,0.169552,-1,-0.012229,-1,1,0.012229,0.073669,-0.024580
2026-02-23,-0.002521,0.015043,0.157523,-1,0.010684,1,0,-0.010684,0.062984,-0.013896
2026-02-24,-0.008406,0.009161,0.152314,-1,0.014389,1,0,-0.014389,0.048595,0.000493
2026-02-25,-0.011902,0.009330,0.183239,-1,-0.012138,-1,1,0.012138,0.060733,-0.011645
2026-02-26,0.013062,0.024684,0.170291,1,-0.003206,-1,0,-0.003206,0.057527,-0.014850
2026-02-27,-0.006040,0.016000,0.171036,-1,0.001316,1,0,-0.001316,0.056211,-0.013534
2026-03-02,-0.015992,-0.018559,0.149886,-1,-0.010763,-1,1,0.010763,0.066974,-0.024297
2026-03-03,-0.013453,-0.012413,0.149977,-1,0.015128,1,0,-0.015128,0.051846,-0.009169
2026-03-04,-0.017938,-0.019634,0.165939,-1,-0.003017,-1,1,0.003017,0.054863,-0.012187
2026-03-05,-0.012128,-0.006678,0.145273,-1,-0.015158,-1,1,0.015158,0.070021,-0.027344
2026-03-06,-0.010613,-0.022393,0.136168,-1,0.013267,1,0,-0.013267,0.056754,-0.014077
2026-03-09,-0.013099,-0.034786,0.155661,-1,0.000016,1,0,-0.000016,0.056737,-0.014060
2026-03-10,0.000340,-0.015847,0.152115,1,-0.000132,-1,0,-0.000132,0.056605,-0.014192
2026-03-11,-0.007683,-0.033460,0.149697,-1,-0.017312,-1,1,0.017312,0.073918,-0.031504
2026-03-12,-0.016058,-0.032187,0.150159,-1,-0.005945,-1,1,0.005945,0.079863,-0.037449
2026-03-13,-0.012001,-0.024125,0.163079,-1,0.011155,1,0,-0.011155,0.068708,-0.026294
2026-03-16,-0.018807,-0.022055,0.165195,-1,0.004868,1,0,-0.004868,0.063839,-0.021426
2026-03-17,-0.002628,-0.040087,0.148427,-1,-0.014038,-1,1,0.014038,0.077877,-0.035463
2026-03-18,-0.011594,-0.037900,0.170502,-1,-0.003165,-1,1,0.003165,0.081042,-0.038629
2026-03-19,-0.021364,0.007332,0.170037,-1,-0.018655,-1,1,0.018655,0.099697,-0.057283
