date,pred_ret_1d,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,-0.006581,-1,-0.000064,1,0.000064,0.000064,-0.000064
2025-12-26,-0.005721,-1,-0.004852,1,0.004852,0.004916,-0.004916
2025-12-29,-0.003345,-1,-0.002322,1,0.002322,0.007239,-0.007239
2025-12-30,0.001614,1,-0.008300,0,-0.008300,-0.001061,-0.015539
2025-12-31,0.004477,1,-0.001939,0,-0.001939,-0.003000,-0.017478
2026-01-02,0.001765,1,0.007912,1,0.007912,0.004911,-0.009566
2026-01-05,-0.008928,-1,0.008748,0,-0.008748,-0.003837,-0.000818
2026-01-06,-0.008005,-1,0.000962,0,-0.000962,-0.004799,0.000144
2026-01-07,0.001843,1,-0.005705,0,-0.005705,-0.010504,-0.005561
2026-01-08,0.006484,1,0.009911,1,0.009911,-0.000593,0.004350
2026-01-09,-0.005947,-1,0.000829,0,-0.000829,-0.001423,0.005179
2026-01-12,-0.012892,-1,-0.001484,1,0.001484,0.000061,0.003695
2026-01-13,-0.007803,-1,-0.010740,1,0.010740,0.010801,-0.007045
2026-01-14,0.005885,1,0.003593,1,0.003593,0.014394,-0.003452
2026-01-15,0.001082,1,-0.000837,0,-0.000837,0.013558,-0.004288
2026-01-16,0.010452,1,-0.021476,0,-0.021476,-0.007918,-0.025765
2026-01-20,0.006915,1,0.013428,1,0.013428,0.005509,-0.012337
2026-01-21,0.004968,1,0.007243,1,0.007243,0.012753,-0.005094
2026-01-22,-0.005163,-1,0.003152,0,-0.003152,0.009600,-0.001941
2026-01-23,-0.004159,-1,0.004390,0,-0.004390,0.005210,0.002449
2026-01-26,-0.012492,-1,0.009024,0,-0.009024,-0.003815,0.011474
2026-01-27,-0.006617,-1,0.003306,0,-0.003306,-0.007121,0.014780
2026-01-28,-0.009053,-1,-0.006003,1,0.006003,-0.001118,0.008776
2026-01-29,-0.010258,-1,-0.012084,1,0.012084,0.010966,-0.003307
2026-01-30,0.005891,1,0.006843,1,0.006843,0.017809,0.003536
2026-02-02,0.000376,1,-0.015483,0,-0.015483,0.002326,-0.011947
2026-02-03,-0.007360,-1,-0.017623,1,0.017623,0.019949,-0.029571
2026-02-04,0.006212,1,-0.014500,0,-0.014500,0.005449,-0.044071
2026-02-05,-0.003367,-1,0.020918,0,-0.020918,-0.015468,-0.023153
2026-02-06,-0.002937,-1,0.007631,0,-0.007631,-0.023099,-0.015522
2026-02-09,-0.006962,-1,-0.004650,1,0.004650,-0.018449,-0.020172
2026-02-10,-0.002583,-1,0.002678,0,-0.002678,-0.021128,-0.017494
2026-02-11,-0.023653,-1,-0.020549,1,0.020549,-0.000579,-0.038042
2026-02-12,0.007068,1,0.002129,1,0.002129,0.001550,-0.035914
2026-02-13,-0.012169,-1,-0.001031,1,0.001031,0.002580,-0.036944
2026-02-17,0.006691,1,0.007439,1,0.007439,0.010020,-0.029505
2026-02-18,-0.029756,-1,-0.003837,1,0.003837,0.013857,-0.033342
2026-02-19,-0.004144,-1,0.008810,0,-0.008810,0.005047,-0.024532
2026-02-20,-0.010282,-1,-0.012229,1,0.012229,0.017276,-0.036761
2026-02-23,0.006787,1,0.010684,1,0.010684,0.027960,-0.026077
2026-02-24,-0.002044,-1,0.014389,0,-0.014389,0.013571,-0.011688
2026-02-25,-0.010083,-1,-0.012138,1,0.012138,0.025709,-0.023826
2026-02-26,0.010166,1,-0.003206,0,-0.003206,0.022503,-0.027032
2026-02-27,-0.014011,-1,0.001316,0,-0.001316,0.021187,-0.025715
2026-03-02,0.000607,1,-0.010763,0,-0.010763,0.010424,-0.036479
2026-03-03,-0.006451,-1,0.015128,0,-0.015128,-0.004705,-0.021350
2026-03-04,-0.005717,-1,-0.003017,1,0.003017,-0.001687,-0.024368
2026-03-05,0.002136,1,-0.015158,0,-0.015158,-0.016845,-0.039525
2026-03-06,0.000673,1,0.013267,1,0.013267,-0.003578,-0.026258
2026-03-09,0.006046,1,0.000016,1,0.000016,-0.003561,-0.026242
2026-03-10,0.017282,1,-0.000132,0,-0.000132,-0.003693,-0.026373
2026-03-11,0.013463,1,-0.017312,0,-0.017312,-0.021005,-0.043686
2026-03-12,-0.002815,-1,-0.005945,1,0.005945,-0.015060,-0.049630
2026-03-13,0.011373,1,0.011155,1,0.011155,-0.003905,-0.038475
2026-03-16,0.011379,1,0.004868,1,0.004868,0.000963,-0.033607
2026-03-17,0.004406,1,-0.014038,0,-0.014038,-0.013075,-0.047645
2026-03-18,0.014246,1,-0.003165,0,-0.003165,-0.016240,-0.050810
2026-03-19,0.018454,1,-0.018655,0,-0.018655,-0.034895,-0.069465
2026-03-20,0.027300,1,0.011414,1,0.011414,-0.023481,-0.058051
2026-03-23,0.007707,1,-0.006860,0,-0.006860,-0.030341,-0.064911
2026-03-24,0.015540,1,0.006554,1,0.006554,-0.023787,-0.058357
2026-03-25,0.011092,1,-0.024157,0,-0.024157,-0.047945,-0.082515
2026-03-26,0.008823,1,-0.019730,0,-0.019730,-0.067675,-0.102245
2026-03-27,-0.003183,-1,-0.007673,1,0.007673,-0.060002,-0.109917
2026-03-30,-0.002330,-1,0.033293,0,-0.033293,-0.093295,-0.076624
2026-03-31,-0.001546,-1,0.012277,0,-0.012277,-0.105573,-0.064346
2026-04-01,-0.005140,-1,0.001146,0,-0.001146,-0.106719,-0.063200
2026-04-02,-0.004875,-1,0.005999,0,-0.005999,-0.112718,-0.057201
2026-04-06,-0.009003,-1,0.000153,0,-0.000153,-0.112871,-0.057048
2026-04-07,-0.001773,-1,0.029299,0,-0.029299,-0.142170,-0.027750
2026-04-08,-0.011637,-1,0.006742,0,-0.006742,-0.148912,-0.021008
2026-04-09,-0.003062,-1,0.001441,0,-0.001441,-0.150353,-0.019567
2026-04-10,0.003361,1,0.010289,1,0.010289,-0.140063,-0.009277
2026-04-13,0.000506,1,0.017994,1,0.017994,-0.122069,0.008717
2026-04-14,-0.002453,-1,0.013902,0,-0.013902,-0.135972,0.022619
2026-04-15,-0.001560,-1,0.004805,0,-0.004805,-0.140776,0.027424
2026-04-16,-0.002182,-1,0.012999,0,-0.012999,-0.153776,0.040423
2026-04-17,-0.002396,-1,-0.003180,1,0.003180,-0.150596,0.037244
2026-04-20,0.000524,1,-0.003811,0,-0.003811,-0.154406,0.033433
2026-04-21,0.000244,1,0.016592,1,0.016592,-0.137814,0.050025
2026-04-22,-0.005820,-1,-0.005649,1,0.005649,-0.132166,0.044376
