feature,domain,baseline_sharpe,permuted_sharpe,sharpe_drop,rank
wti_logret_5d,commodities,1.926300,0.836000,1.090300,1
vix_logret_1d,volatility_regime,1.926300,0.967800,0.958500,2
qqq_macd_hist_norm,qqq_primary,1.926300,1.151800,0.774500,3
qqq_over_iwm_5d,qqq_primary,1.926300,1.161200,0.765100,4
xlk_logret_1d,sectors,1.926300,1.331600,0.594700,5
dow_wed,calendar,1.926300,1.436400,0.489900,6
move_z60,volatility_regime,1.926300,1.447300,0.479000,7
silver_logret_1d,commodities,1.926300,1.477500,0.448700,8
xlk_ma20_z,sectors,1.926300,1.486200,0.440100,9
santa_rally,calendar,1.926300,1.520900,0.405300,10
qqq_over_smh_5d,qqq_primary,1.926300,1.534300,0.392000,11
tlt_logret_20d,bonds_credit,1.926300,1.539600,0.386600,12
ftse_logret_5d,intl_risk,1.926300,1.539600,0.386600,13
xle_logret_1d,sectors,1.926300,1.544000,0.382200,14
ibb_logret_5d,industry_tilts,1.926300,1.548600,0.377700,15
yld_10y_20d,yields_curve,1.926300,1.554900,0.371300,16
soxx_logret_5d,industry_tilts,1.926300,1.555600,0.370700,17
gold_logret_20d,commodities,1.926300,1.560400,0.365800,18
dxy_logret_5d,fx_macro,1.926300,1.568300,0.357900,19
xly_ma20_z,sectors,1.926300,1.575100,0.351100,20
smh_logret_5d,industry_tilts,1.926300,1.579500,0.346800,21
qqq_rsi14,qqq_primary,1.926300,1.606200,0.320100,22
usdjpy_logret_20d,fx_macro,1.926300,1.611400,0.314900,23
qqq_over_dia_5d,qqq_primary,1.926300,1.614100,0.312100,24
lag_ret_5d,autoregressive,1.926300,1.614100,0.312100,25
copper_logret_1d,commodities,1.926300,1.617200,0.309100,26
xlb_logret_1d,sectors,1.926300,1.639200,0.287000,27
xlb_logret_5d,sectors,1.926300,1.651900,0.274300,28
ief_logret_5d,bonds_credit,1.926300,1.652500,0.273800,29
vix_over_vix3m,volatility_regime,1.926300,1.659900,0.266300,30
xlv_logret_20d,sectors,1.926300,1.675500,0.250700,31
xle_logret_5d,sectors,1.926300,1.675500,0.250700,32
vix,volatility_regime,1.926300,1.675500,0.250700,33
move_logret_5d,volatility_regime,1.926300,1.675500,0.250700,34
skew_change_5d,volatility_regime,1.926300,1.675500,0.250700,35
yld_10y_5d,yields_curve,1.926300,1.675500,0.250700,36
shy_logret_5d,bonds_credit,1.926300,1.675500,0.250700,37
qqq_close_to_sma20,qqq_primary,1.926300,1.678200,0.248100,38
xlk_logret_5d,sectors,1.926300,1.678200,0.248100,39
wti_logret_20d,commodities,1.926300,1.678200,0.248100,40
month_sin,calendar,1.926300,1.687200,0.239100,41
qqq_donchian_pos20,qqq_primary,1.926300,1.693500,0.232700,42
qqq_mom_12_1,qqq_primary,1.926300,1.696300,0.230000,43
xlf_logret_20d,sectors,1.926300,1.696300,0.230000,44
xlv_logret_5d,sectors,1.926300,1.696300,0.230000,45
xly_logret_20d,sectors,1.926300,1.696300,0.230000,46
xlp_logret_5d,sectors,1.926300,1.696300,0.230000,47
xli_logret_5d,sectors,1.926300,1.696300,0.230000,48
vxn,volatility_regime,1.926300,1.696300,0.230000,49
vvix_over_vix,volatility_regime,1.926300,1.696300,0.230000,50
yld_10y,yields_curve,1.926300,1.696300,0.230000,51
sector_dispersion_20d,sectors,1.926300,1.696300,0.230000,52
agg_logret_20d,bonds_credit,1.926300,1.696300,0.230000,53
dec_effect,calendar,1.926300,1.696300,0.230000,54
turn_of_month,calendar,1.926300,1.696300,0.230000,55
jan_effect,calendar,1.926300,1.696600,0.229600,56
vxn_over_vix,volatility_regime,1.926300,1.698900,0.227300,57
sec_xlb_logret_5d,sectors,1.926300,1.698900,0.227300,58
qqq_park_vol_5d,qqq_primary,1.926300,1.699900,0.226300,59
qqq_obv_z60,qqq_primary,1.926300,1.702300,0.224000,60
sec_xlk_logret_5d,sectors,1.926300,1.718900,0.207300,61
qqq_close_to_sma50,qqq_primary,1.926300,1.720700,0.205600,62
qqq_williams_r14,qqq_primary,1.926300,1.720700,0.205600,63
usdjpy_logret_1d,fx_macro,1.926300,1.720700,0.205600,64
dow_tue,calendar,1.926300,1.730900,0.195300,65
qqq_close_to_sma100,qqq_primary,1.926300,1.738900,0.187300,66
xly_minus_xlp_5d,sectors,1.926300,1.750200,0.176000,67
qqq_over_eem_5d,qqq_primary,1.926300,1.757100,0.169200,68
xlb_logret_20d,sectors,1.926300,1.759900,0.166300,69
sec_xli_logret_5d,sectors,1.926300,1.762600,0.163700,70
lag_ret_1d,autoregressive,1.926300,1.763500,0.162800,71
vxn_z60,volatility_regime,1.926300,1.766100,0.160100,72
xle_ma20_z,sectors,1.926300,1.768900,0.157400,73
xlf_ma20_z,sectors,1.926300,1.771000,0.155300,74
ief_logret_20d,bonds_credit,1.926300,1.771000,0.155200,75
soxx_logret_20d,industry_tilts,1.926300,1.771000,0.155200,76
qqq_mom_6m,qqq_primary,1.926300,1.771500,0.154700,77
xlu_logret_5d,sectors,1.926300,1.771500,0.154700,78
hsi_logret_5d,intl_risk,1.926300,1.774600,0.151600,79
qqq_mom_9m,qqq_primary,1.926300,1.784200,0.142000,80
xli_ma20_z,sectors,1.926300,1.784200,0.142000,81
dow_mon,calendar,1.926300,1.784200,0.142000,82
qqq_bb_z20,qqq_primary,1.926300,1.786900,0.139400,83
eurusd_logret_5d,fx_macro,1.926300,1.786900,0.139400,84
dax_logret_5d,intl_risk,1.926300,1.795400,0.130800,85
sec_xlv_logret_5d,sectors,1.926300,1.797900,0.128400,86
fomc_week,calendar,1.926300,1.797900,0.128400,87
qqq_logret_60d,qqq_primary,1.926300,1.811400,0.114900,88
qqq_vol_z20,qqq_primary,1.926300,1.824000,0.102300,89
qqq_natr14,qqq_primary,1.926300,1.829700,0.096500,90
xlk_logret_20d,sectors,1.926300,1.829700,0.096500,91
qqq_rsi28,qqq_primary,1.926300,1.832400,0.093900,92
