date,vote_sum,vote_sign,actual_ret_1d,pos_vanilla_long_short,pos_long_only,pos_high_conf_5,pos_conf_weighted,pos_vol_target,pos_trend_filter,pos_stop_loss,pos_two_tier,pnl_vanilla,pnl_long_only,pnl_high_conf,pnl_conf_weighted,pnl_vol_target,pnl_trend_filter,pnl_stop_loss,pnl_two_tier
2025-12-24,1,1,-0.000064,1.000000,1.000000,0.000000,0.200000,0.200000,0.000000,1.000000,0.000000,-0.000064,-0.000064,-0.000000,-0.000013,-0.000013,-0.000000,-0.000064,-0.000000
2025-12-26,-1,-1,-0.004852,-1.000000,0.000000,0.000000,-0.200000,-0.200000,-1.000000,-1.000000,0.000000,0.004852,-0.000000,-0.000000,0.000970,0.000970,0.004852,0.004852,-0.000000
2025-12-29,-1,-1,-0.002322,-1.000000,0.000000,0.000000,-0.200000,-0.200000,-1.000000,-1.000000,0.000000,0.002322,-0.000000,-0.000000,0.000464,0.000464,0.002322,0.002322,-0.000000
2025-12-30,-1,-1,-0.008300,-1.000000,0.000000,0.000000,-0.200000,-0.200000,-1.000000,-1.000000,0.000000,0.008300,-0.000000,-0.000000,0.001660,0.001660,0.008300,0.008300,-0.000000
2025-12-31,1,1,-0.001939,1.000000,1.000000,0.000000,0.200000,0.400000,0.000000,1.000000,0.000000,-0.001939,-0.001939,-0.000000,-0.000388,-0.000776,-0.000000,-0.001939,-0.000000
2026-01-02,5,1,0.007912,1.000000,1.000000,1.000000,1.000000,1.731298,0.000000,1.000000,1.500000,0.007912,0.007912,0.007912,0.007912,0.013698,0.000000,0.007912,0.011868
2026-01-05,1,1,0.008748,1.000000,1.000000,0.000000,0.200000,0.298422,0.000000,1.000000,0.000000,0.008748,0.008748,0.000000,0.001750,0.002611,0.000000,0.008748,0.000000
2026-01-06,1,1,0.000962,1.000000,1.000000,0.000000,0.200000,0.321653,0.000000,1.000000,0.000000,0.000962,0.000962,0.000000,0.000192,0.000309,0.000000,0.000962,0.000000
2026-01-07,3,1,-0.005705,1.000000,1.000000,0.000000,0.600000,0.974543,0.000000,1.000000,1.000000,-0.005705,-0.005705,-0.000000,-0.003423,-0.005560,-0.000000,-0.005705,-0.005705
2026-01-08,5,1,0.009911,1.000000,1.000000,1.000000,1.000000,1.472669,1.000000,1.000000,1.500000,0.009911,0.009911,0.009911,0.009911,0.014596,0.009911,0.009911,0.014866
