date,ensemble_signal,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,5,1,-0.000064,0,-0.000064,-0.000064,-0.000064
2025-12-26,-3,-1,-0.004852,1,0.004852,0.004788,-0.004916
2025-12-29,5,1,-0.002322,0,-0.002322,0.002466,-0.007238
2025-12-30,1,1,-0.008300,0,-0.008300,-0.005834,-0.015538
2025-12-31,7,1,-0.001939,0,-0.001939,-0.007773,-0.017477
2026-01-02,11,1,0.007912,1,0.007912,0.000139,-0.009565
2026-01-05,5,1,0.008748,1,0.008748,0.008887,-0.000817
2026-01-06,7,1,0.000962,1,0.000962,0.009849,0.000145
2026-01-07,9,1,-0.005705,0,-0.005705,0.004144,-0.005560
2026-01-08,13,1,0.009911,1,0.009911,0.014055,0.004351
2026-01-09,7,1,0.000829,1,0.000829,0.014884,0.005180
2026-01-12,3,1,-0.001484,0,-0.001484,0.013400,0.003696
2026-01-13,7,1,-0.010740,0,-0.010740,0.002660,-0.007044
2026-01-14,11,1,0.003593,1,0.003593,0.006253,-0.003451
2026-01-15,11,1,-0.000837,0,-0.000837,0.005416,-0.004288
2026-01-16,11,1,-0.021476,0,-0.021476,-0.016060,-0.025764
2026-01-20,9,1,0.013428,1,0.013428,-0.002632,-0.012336
2026-01-21,3,1,0.007243,1,0.007243,0.004611,-0.005093
2026-01-22,-1,-1,0.003152,0,-0.003152,0.001459,-0.001941
2026-01-23,1,1,0.004390,1,0.004390,0.005849,0.002449
2026-01-26,-1,-1,0.009024,0,-0.009024,-0.003175,0.011473
2026-01-27,7,1,0.003306,1,0.003306,0.000131,0.014779
2026-01-28,9,1,-0.006003,0,-0.006003,-0.005872,0.008776
2026-01-29,3,1,-0.012084,0,-0.012084,-0.017956,-0.003308
2026-01-30,11,1,0.006843,1,0.006843,-0.011113,0.003535
2026-02-02,9,1,-0.015483,0,-0.015483,-0.026596,-0.011948
2026-02-03,9,1,-0.017623,0,-0.017623,-0.044219,-0.029571
2026-02-04,9,1,-0.014500,0,-0.014500,-0.058719,-0.044071
2026-02-05,11,1,0.020918,1,0.020918,-0.037801,-0.023153
2026-02-06,5,1,0.007631,1,0.007631,-0.030170,-0.015522
2026-02-09,5,1,-0.004650,0,-0.004650,-0.034820,-0.020172
2026-02-10,11,1,0.002678,1,0.002678,-0.032142,-0.017494
2026-02-11,1,1,-0.020549,0,-0.020549,-0.052691,-0.038043
2026-02-12,5,1,0.002129,1,0.002129,-0.050562,-0.035914
2026-02-13,-5,-1,-0.001031,1,0.001031,-0.049531,-0.036945
2026-02-17,11,1,0.007439,1,0.007439,-0.042092,-0.029506
2026-02-18,-1,-1,-0.003837,1,0.003837,-0.038255,-0.033343
2026-02-19,9,1,0.008810,1,0.008810,-0.029445,-0.024533
2026-02-20,11,1,-0.012229,0,-0.012229,-0.041674,-0.036762
2026-02-23,11,1,0.010684,1,0.010684,-0.030990,-0.026078
2026-02-24,13,1,0.014389,1,0.014389,-0.016601,-0.011689
2026-02-25,11,1,-0.012138,0,-0.012138,-0.028739,-0.023827
2026-02-26,13,1,-0.003206,0,-0.003206,-0.031945,-0.027033
2026-02-27,1,1,0.001316,1,0.001316,-0.030629,-0.025717
2026-03-02,9,1,-0.010763,0,-0.010763,-0.041392,-0.036480
2026-03-03,5,1,0.015128,1,0.015128,-0.026264,-0.021352
2026-03-04,-1,-1,-0.003017,1,0.003017,-0.023247,-0.024369
2026-03-05,1,1,-0.015158,0,-0.015158,-0.038405,-0.039527
2026-03-06,3,1,0.013267,1,0.013267,-0.025138,-0.026260
2026-03-09,1,1,0.000016,1,0.000016,-0.025122,-0.026244
2026-03-10,11,1,-0.000132,0,-0.000132,-0.025254,-0.026376
2026-03-11,5,1,-0.017312,0,-0.017312,-0.042566,-0.043688
2026-03-12,11,1,-0.005945,0,-0.005945,-0.048511,-0.049633
2026-03-13,11,1,0.011155,1,0.011155,-0.037356,-0.038478
2026-03-16,7,1,0.004868,1,0.004868,-0.032488,-0.033610
2026-03-17,11,1,-0.014038,0,-0.014038,-0.046526,-0.047648
2026-03-18,11,1,-0.003165,0,-0.003165,-0.049691,-0.050813
2026-03-19,5,1,-0.018655,0,-0.018655,-0.068346,-0.069468
2026-03-20,9,1,0.011414,1,0.011414,-0.056932,-0.058054
2026-03-23,11,1,-0.006860,0,-0.006860,-0.063792,-0.064914
2026-03-24,11,1,0.006554,1,0.006554,-0.057238,-0.058360
2026-03-25,3,1,-0.024157,0,-0.024157,-0.081395,-0.082517
2026-03-26,13,1,-0.019730,0,-0.019730,-0.101125,-0.102247
2026-03-27,11,1,-0.007673,0,-0.007673,-0.108798,-0.109920
2026-03-30,13,1,0.033293,1,0.033293,-0.075505,-0.076627
2026-03-31,9,1,0.012277,1,0.012277,-0.063228,-0.064350
2026-04-01,11,1,0.001146,1,0.001146,-0.062082,-0.063204
2026-04-02,11,1,0.005999,1,0.005999,-0.056083,-0.057205
2026-04-06,11,1,0.000153,1,0.000153,-0.055930,-0.057052
2026-04-07,9,1,0.029299,1,0.029299,-0.026631,-0.027753
2026-04-08,7,1,0.006742,1,0.006742,-0.019889,-0.021011
2026-04-09,11,1,0.001441,1,0.001441,-0.018448,-0.019570
2026-04-10,11,1,0.010289,1,0.010289,-0.008159,-0.009281
2026-04-13,11,1,0.017994,1,0.017994,0.009835,0.008713
2026-04-14,11,1,0.013902,1,0.013902,0.023737,0.022615
2026-04-15,7,1,0.004805,1,0.004805,0.028542,0.027420
2026-04-16,9,1,0.012999,1,0.012999,0.041541,0.040419
2026-04-17,5,1,-0.003180,0,-0.003180,0.038361,0.037239
2026-04-20,9,1,-0.003811,0,-0.003811,0.034550,0.033428
2026-04-21,13,1,0.016592,1,0.016592,0.051142,0.050020
2026-04-22,7,1,-0.005649,0,-0.005649,0.045493,0.044371
