date,ensemble_signal,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,0.003376,1,-0.000064,0,-0.000064,-0.000064,-0.000064
2025-12-26,0.003052,1,-0.004852,0,-0.004852,-0.004916,-0.004916
2025-12-29,0.003903,1,-0.002322,0,-0.002322,-0.007238,-0.007238
2025-12-30,0.004024,1,-0.008300,0,-0.008300,-0.015538,-0.015538
2025-12-31,0.004967,1,-0.001939,0,-0.001939,-0.017477,-0.017477
2026-01-02,0.008037,1,0.007912,1,0.007912,-0.009565,-0.009565
2026-01-05,0.005050,1,0.008748,1,0.008748,-0.000817,-0.000817
2026-01-06,0.003778,1,0.000962,1,0.000962,0.000145,0.000145
2026-01-07,0.005398,1,-0.005705,0,-0.005705,-0.005560,-0.005560
2026-01-08,0.006016,1,0.009911,1,0.009911,0.004351,0.004351
2026-01-09,0.004483,1,0.000829,1,0.000829,0.005180,0.005180
2026-01-12,0.003110,1,-0.001484,0,-0.001484,0.003696,0.003696
2026-01-13,0.005933,1,-0.010740,0,-0.010740,-0.007044,-0.007044
2026-01-14,0.009475,1,0.003593,1,0.003593,-0.003451,-0.003451
2026-01-15,0.006553,1,-0.000837,0,-0.000837,-0.004288,-0.004288
2026-01-16,0.012284,1,-0.021476,0,-0.021476,-0.025764,-0.025764
2026-01-20,0.007955,1,0.013428,1,0.013428,-0.012336,-0.012336
2026-01-21,0.004334,1,0.007243,1,0.007243,-0.005093,-0.005093
2026-01-22,0.001676,1,0.003152,1,0.003152,-0.001941,-0.001941
2026-01-23,0.003005,1,0.004390,1,0.004390,0.002449,0.002449
2026-01-26,-0.000155,-1,0.009024,0,-0.009024,-0.006575,0.011473
2026-01-27,0.004618,1,0.003306,1,0.003306,-0.003269,0.014779
2026-01-28,0.003684,1,-0.006003,0,-0.006003,-0.009272,0.008776
2026-01-29,0.005215,1,-0.012084,0,-0.012084,-0.021356,-0.003308
2026-01-30,0.012471,1,0.006843,1,0.006843,-0.014513,0.003535
2026-02-02,0.004825,1,-0.015483,0,-0.015483,-0.029996,-0.011948
2026-02-03,0.003194,1,-0.017623,0,-0.017623,-0.047619,-0.029571
2026-02-04,0.004721,1,-0.014500,0,-0.014500,-0.062119,-0.044071
2026-02-05,0.008205,1,0.020918,1,0.020918,-0.041201,-0.023153
2026-02-06,0.006066,1,0.007631,1,0.007631,-0.033570,-0.015522
2026-02-09,-0.001472,-1,-0.004650,1,0.004650,-0.028920,-0.020172
2026-02-10,0.011337,1,0.002678,1,0.002678,-0.026242,-0.017494
2026-02-11,-0.000286,-1,-0.020549,1,0.020549,-0.005693,-0.038043
