date,ensemble_signal,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,0,0,-0.000064,0,-0.000000,-0.000000,-0.000064
2025-12-26,0,0,-0.004852,0,-0.000000,-0.000000,-0.004916
2025-12-29,0,0,-0.002322,0,-0.000000,-0.000000,-0.007238
2025-12-30,0,0,-0.008300,0,-0.000000,-0.000000,-0.015538
2025-12-31,0,0,-0.001939,0,-0.000000,-0.000000,-0.017477
2026-01-02,11,1,0.007912,1,0.007912,0.007912,-0.009565
2026-01-05,0,0,0.008748,0,0.000000,0.007912,-0.000817
2026-01-06,0,0,0.000962,0,0.000000,0.007912,0.000145
2026-01-07,9,1,-0.005705,0,-0.005705,0.002207,-0.005560
2026-01-08,13,1,0.009911,1,0.009911,0.012118,0.004351
2026-01-09,0,0,0.000829,0,0.000000,0.012118,0.005180
2026-01-12,0,0,-0.001484,0,-0.000000,0.012118,0.003696
2026-01-13,0,0,-0.010740,0,-0.000000,0.012118,-0.007044
2026-01-14,11,1,0.003593,1,0.003593,0.015711,-0.003451
2026-01-15,11,1,-0.000837,0,-0.000837,0.014874,-0.004288
2026-01-16,11,1,-0.021476,0,-0.021476,-0.006602,-0.025764
2026-01-20,9,1,0.013428,1,0.013428,0.006826,-0.012336
2026-01-21,0,0,0.007243,0,0.000000,0.006826,-0.005093
2026-01-22,0,0,0.003152,0,0.000000,0.006826,-0.001941
2026-01-23,0,0,0.004390,0,0.000000,0.006826,0.002449
2026-01-26,0,0,0.009024,0,0.000000,0.006826,0.011473
2026-01-27,0,0,0.003306,0,0.000000,0.006826,0.014779
2026-01-28,9,1,-0.006003,0,-0.006003,0.000823,0.008776
2026-01-29,0,0,-0.012084,0,-0.000000,0.000823,-0.003308
2026-01-30,11,1,0.006843,1,0.006843,0.007666,0.003535
2026-02-02,9,1,-0.015483,0,-0.015483,-0.007817,-0.011948
2026-02-03,9,1,-0.017623,0,-0.017623,-0.025440,-0.029571
2026-02-04,9,1,-0.014500,0,-0.014500,-0.039940,-0.044071
2026-02-05,11,1,0.020918,1,0.020918,-0.019022,-0.023153
2026-02-06,0,0,0.007631,0,0.000000,-0.019022,-0.015522
2026-02-09,0,0,-0.004650,0,-0.000000,-0.019022,-0.020172
2026-02-10,11,1,0.002678,1,0.002678,-0.016344,-0.017494
2026-02-11,0,0,-0.020549,0,-0.000000,-0.016344,-0.038043
2026-02-12,0,0,0.002129,0,0.000000,-0.016344,-0.035914
2026-02-13,0,0,-0.001031,0,-0.000000,-0.016344,-0.036945
2026-02-17,11,1,0.007439,1,0.007439,-0.008905,-0.029506
2026-02-18,0,0,-0.003837,0,-0.000000,-0.008905,-0.033343
2026-02-19,9,1,0.008810,1,0.008810,-0.000095,-0.024533
2026-02-20,11,1,-0.012229,0,-0.012229,-0.012324,-0.036762
2026-02-23,11,1,0.010684,1,0.010684,-0.001640,-0.026078
2026-02-24,13,1,0.014389,1,0.014389,0.012749,-0.011689
2026-02-25,11,1,-0.012138,0,-0.012138,0.000611,-0.023827
2026-02-26,13,1,-0.003206,0,-0.003206,-0.002595,-0.027033
2026-02-27,0,0,0.001316,0,0.000000,-0.002595,-0.025717
2026-03-02,9,1,-0.010763,0,-0.010763,-0.013358,-0.036480
2026-03-03,0,0,0.015128,0,0.000000,-0.013358,-0.021352
2026-03-04,0,0,-0.003017,0,-0.000000,-0.013358,-0.024369
2026-03-05,0,0,-0.015158,0,-0.000000,-0.013358,-0.039527
2026-03-06,0,0,0.013267,0,0.000000,-0.013358,-0.026260
2026-03-09,0,0,0.000016,0,0.000000,-0.013358,-0.026244
2026-03-10,11,1,-0.000132,0,-0.000132,-0.013490,-0.026376
2026-03-11,0,0,-0.017312,0,-0.000000,-0.013490,-0.043688
2026-03-12,11,1,-0.005945,0,-0.005945,-0.019435,-0.049633
2026-03-13,11,1,0.011155,1,0.011155,-0.008280,-0.038478
2026-03-16,0,0,0.004868,0,0.000000,-0.008280,-0.033610
2026-03-17,11,1,-0.014038,0,-0.014038,-0.022318,-0.047648
2026-03-18,11,1,-0.003165,0,-0.003165,-0.025483,-0.050813
2026-03-19,0,0,-0.018655,0,-0.000000,-0.025483,-0.069468
2026-03-20,9,1,0.011414,1,0.011414,-0.014069,-0.058054
2026-03-23,11,1,-0.006860,0,-0.006860,-0.020929,-0.064914
2026-03-24,11,1,0.006554,1,0.006554,-0.014375,-0.058360
2026-03-25,0,0,-0.024157,0,-0.000000,-0.014375,-0.082517
2026-03-26,13,1,-0.019730,0,-0.019730,-0.034105,-0.102247
2026-03-27,11,1,-0.007673,0,-0.007673,-0.041778,-0.109920
2026-03-30,13,1,0.033293,1,0.033293,-0.008485,-0.076627
2026-03-31,9,1,0.012277,1,0.012277,0.003792,-0.064350
2026-04-01,11,1,0.001146,1,0.001146,0.004938,-0.063204
2026-04-02,11,1,0.005999,1,0.005999,0.010937,-0.057205
2026-04-06,11,1,0.000153,1,0.000153,0.011090,-0.057052
2026-04-07,9,1,0.029299,1,0.029299,0.040389,-0.027753
2026-04-08,0,0,0.006742,0,0.000000,0.040389,-0.021011
2026-04-09,11,1,0.001441,1,0.001441,0.041830,-0.019570
2026-04-10,11,1,0.010289,1,0.010289,0.052119,-0.009281
2026-04-13,11,1,0.017994,1,0.017994,0.070113,0.008713
2026-04-14,11,1,0.013902,1,0.013902,0.084015,0.022615
2026-04-15,0,0,0.004805,0,0.000000,0.084015,0.027420
2026-04-16,9,1,0.012999,1,0.012999,0.097014,0.040419
2026-04-17,0,0,-0.003180,0,-0.000000,0.097014,0.037239
2026-04-20,9,1,-0.003811,0,-0.003811,0.093203,0.033428
2026-04-21,13,1,0.016592,1,0.016592,0.109795,0.050020
2026-04-22,0,0,-0.005649,0,-0.000000,0.109795,0.044371
