date,pred_ret_1d,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,-0.000180,-1,-0.000064,1,0.000064,0.000064,-0.000064
2025-12-26,-0.001167,-1,-0.004852,1,0.004852,0.004916,-0.004916
2025-12-29,0.001836,1,-0.002322,0,-0.002322,0.002594,-0.007239
2025-12-30,0.010727,1,-0.008300,0,-0.008300,-0.005706,-0.015539
2025-12-31,0.001128,1,-0.001939,0,-0.001939,-0.007645,-0.017478
2026-01-02,0.009462,1,0.007912,1,0.007912,0.000267,-0.009566
2026-01-05,0.005307,1,0.008748,1,0.008748,0.009015,-0.000818
2026-01-06,0.007485,1,0.000962,1,0.000962,0.009977,0.000144
2026-01-07,0.012950,1,-0.005705,0,-0.005705,0.004272,-0.005561
2026-01-08,0.013751,1,0.009911,1,0.009911,0.014183,0.004350
2026-01-09,0.005183,1,0.000829,1,0.000829,0.015012,0.005179
2026-01-12,0.000846,1,-0.001484,0,-0.001484,0.013528,0.003695
2026-01-13,0.001170,1,-0.010740,0,-0.010740,0.002788,-0.007045
2026-01-14,0.009541,1,0.003593,1,0.003593,0.006381,-0.003452
2026-01-15,0.014393,1,-0.000837,0,-0.000837,0.005544,-0.004288
2026-01-16,0.002385,1,-0.021476,0,-0.021476,-0.015932,-0.025765
2026-01-20,-0.007673,-1,0.013428,0,-0.013428,-0.029360,-0.012337
2026-01-21,0.007981,1,0.007243,1,0.007243,-0.022116,-0.005094
2026-01-22,-0.004888,-1,0.003152,0,-0.003152,-0.025269,-0.001941
2026-01-23,-0.003925,-1,0.004390,0,-0.004390,-0.029659,0.002449
2026-01-26,-0.001653,-1,0.009024,0,-0.009024,-0.038684,0.011474
2026-01-27,-0.004164,-1,0.003306,0,-0.003306,-0.041990,0.014780
2026-01-28,0.005599,1,-0.006003,0,-0.006003,-0.047993,0.008776
2026-01-29,0.003557,1,-0.012084,0,-0.012084,-0.060077,-0.003307
2026-01-30,0.002476,1,0.006843,1,0.006843,-0.053234,0.003536
2026-02-02,0.001148,1,-0.015483,0,-0.015483,-0.068717,-0.011947
2026-02-03,0.003090,1,-0.017623,0,-0.017623,-0.086340,-0.029571
2026-02-04,0.007367,1,-0.014500,0,-0.014500,-0.100840,-0.044071
2026-02-05,0.005662,1,0.020918,1,0.020918,-0.079923,-0.023153
2026-02-06,-0.008432,-1,0.007631,0,-0.007631,-0.087554,-0.015522
2026-02-09,-0.009149,-1,-0.004650,1,0.004650,-0.082903,-0.020172
2026-02-10,-0.018891,-1,0.002678,0,-0.002678,-0.085582,-0.017494
2026-02-11,0.006501,1,-0.020549,0,-0.020549,-0.106131,-0.038042
2026-02-12,-0.007665,-1,0.002129,0,-0.002129,-0.108259,-0.035914
2026-02-13,0.017950,1,-0.001031,0,-0.001031,-0.109290,-0.036944
2026-02-17,0.006476,1,0.007439,1,0.007439,-0.101850,-0.029505
2026-02-18,0.017024,1,-0.003837,0,-0.003837,-0.105688,-0.033342
2026-02-19,0.019524,1,0.008810,1,0.008810,-0.096878,-0.024532
2026-02-20,0.016454,1,-0.012229,0,-0.012229,-0.109107,-0.036761
2026-02-23,0.030367,1,0.010684,1,0.010684,-0.098423,-0.026077
2026-02-24,0.020999,1,0.014389,1,0.014389,-0.084034,-0.011688
2026-02-25,0.020431,1,-0.012138,0,-0.012138,-0.096172,-0.023826
2026-02-26,0.018283,1,-0.003206,0,-0.003206,-0.099377,-0.027032
2026-02-27,0.023758,1,0.001316,1,0.001316,-0.098061,-0.025715
2026-03-02,0.017270,1,-0.010763,0,-0.010763,-0.108824,-0.036479
2026-03-03,0.001509,1,0.015128,1,0.015128,-0.093696,-0.021350
2026-03-04,-0.001377,-1,-0.003017,1,0.003017,-0.090679,-0.024368
2026-03-05,0.010004,1,-0.015158,0,-0.015158,-0.105836,-0.039525
2026-03-06,0.010129,1,0.013267,1,0.013267,-0.092569,-0.026258
2026-03-09,0.011883,1,0.000016,1,0.000016,-0.092553,-0.026242
2026-03-10,0.010705,1,-0.000132,0,-0.000132,-0.092684,-0.026373
2026-03-11,0.022251,1,-0.017312,0,-0.017312,-0.109997,-0.043686
2026-03-12,0.014470,1,-0.005945,0,-0.005945,-0.115941,-0.049630
2026-03-13,0.012275,1,0.011155,1,0.011155,-0.104786,-0.038475
2026-03-16,-0.003431,-1,0.004868,0,-0.004868,-0.109655,-0.033607
2026-03-17,0.018013,1,-0.014038,0,-0.014038,-0.123692,-0.047645
2026-03-18,0.009661,1,-0.003165,0,-0.003165,-0.126858,-0.050810
2026-03-19,0.007991,1,-0.018655,0,-0.018655,-0.145512,-0.069465
2026-03-20,0.006118,1,0.011414,1,0.011414,-0.134099,-0.058051
2026-03-23,0.009536,1,-0.006860,0,-0.006860,-0.140959,-0.064911
2026-03-24,0.012828,1,0.006554,1,0.006554,-0.134405,-0.058357
2026-03-25,0.004098,1,-0.024157,0,-0.024157,-0.158562,-0.082515
2026-03-26,0.012197,1,-0.019730,0,-0.019730,-0.178292,-0.102245
2026-03-27,0.014950,1,-0.007673,0,-0.007673,-0.185965,-0.109917
2026-03-30,0.021251,1,0.033293,1,0.033293,-0.152672,-0.076624
2026-03-31,0.016865,1,0.012277,1,0.012277,-0.140394,-0.064346
2026-04-01,0.015070,1,0.001146,1,0.001146,-0.139248,-0.063200
2026-04-02,0.012831,1,0.005999,1,0.005999,-0.133249,-0.057201
2026-04-06,0.001591,1,0.000153,1,0.000153,-0.133096,-0.057048
2026-04-07,0.007499,1,0.029299,1,0.029299,-0.103797,-0.027750
2026-04-08,-0.004156,-1,0.006742,0,-0.006742,-0.110539,-0.021008
2026-04-09,0.012515,1,0.001441,1,0.001441,-0.109098,-0.019567
2026-04-10,0.006320,1,0.010289,1,0.010289,-0.098809,-0.009277
2026-04-13,0.007215,1,0.017994,1,0.017994,-0.080814,0.008717
2026-04-14,0.004556,1,0.013902,1,0.013902,-0.066912,0.022619
2026-04-15,0.004946,1,0.004805,1,0.004805,-0.062107,0.027424
2026-04-16,0.004965,1,0.012999,1,0.012999,-0.049108,0.040423
2026-04-17,-0.002344,-1,-0.003180,1,0.003180,-0.045928,0.037244
2026-04-20,0.008520,1,-0.003811,0,-0.003811,-0.049739,0.033433
2026-04-21,0.012399,1,0.016592,1,0.016592,-0.033147,0.050025
2026-04-22,0.005162,1,-0.005649,0,-0.005649,-0.038795,0.044376
