feature,domain,baseline_sharpe,permuted_sharpe,sharpe_drop,rank
qqq_over_spy_5d,qqq_primary,2.110500,1.382300,0.728200,1
qqq_close_to_sma50,qqq_primary,2.110500,1.467100,0.643400,2
qqq_mom_12_2,qqq_primary,2.110500,1.490400,0.620100,3
xli_logret_1d,sectors,2.110500,1.490400,0.620100,4
eem_logret_5d,benchmarks,2.110500,1.490400,0.620100,5
qqq_rsi14,qqq_primary,2.110500,1.502600,0.607900,6
vix_logret_5d,volatility_regime,2.110500,1.508600,0.601900,7
qqq_over_soxx_5d,qqq_primary,2.110500,1.519900,0.590600,8
xli_ma20_z,sectors,2.110500,1.529300,0.581200,9
copper_logret_5d,commodities,2.110500,1.544200,0.566400,10
sector_dispersion_20d,sectors,2.110500,1.548600,0.561900,11
qqq_logret_20d,qqq_primary,2.110500,1.570900,0.539700,12
var_ratio_5_1,autoregressive,2.110500,1.626300,0.484200,13
dow_fri,calendar,2.110500,1.637000,0.473500,14
wti_logret_1d,commodities,2.110500,1.651000,0.459500,15
qqq_over_dia_5d,qqq_primary,2.110500,1.672200,0.438300,16
skew,volatility_regime,2.110500,1.674400,0.436100,17
santa_rally,calendar,2.110500,1.699100,0.411400,18
vix_logret_1d,volatility_regime,2.110500,1.702400,0.408100,19
qqq_obv_z60,qqq_primary,2.110500,1.703900,0.406600,20
qqq_close_to_sma10,qqq_primary,2.110500,1.705200,0.405300,21
qqq_mom_6m,qqq_primary,2.110500,1.705200,0.405300,22
xlk_logret_1d,sectors,2.110500,1.730100,0.380400,23
qqq_macd_hist_norm,qqq_primary,2.110500,1.733200,0.377300,24
qqq_donchian_pos252,qqq_primary,2.110500,1.733200,0.377300,25
qqq_over_efa,qqq_primary,2.110500,1.733200,0.377300,26
qqq_over_eem,qqq_primary,2.110500,1.733200,0.377300,27
dd_from_252max,autoregressive,2.110500,1.733200,0.377300,28
xly_logret_5d,sectors,2.110500,1.733800,0.376700,29
xle_ma20_z,sectors,2.110500,1.735300,0.375300,30
move_over_vix,volatility_regime,2.110500,1.752600,0.357900,31
xlu_logret_1d,sectors,2.110500,1.758000,0.352600,32
eurusd_logret_20d,fx_macro,2.110500,1.763100,0.347400,33
qqq_yz_vol_20d,qqq_primary,2.110500,1.772300,0.338200,34
yld_10y_20d,yields_curve,2.110500,1.806800,0.303700,35
vxn,volatility_regime,2.110500,1.827400,0.283100,36
vxn_logret_5d,volatility_regime,2.110500,1.845000,0.265600,37
efa_logret_5d,benchmarks,2.110500,1.848300,0.262300,38
term_10y_3m,yields_curve,2.110500,1.851300,0.259200,39
agg_logret_20d,bonds_credit,2.110500,1.851300,0.259200,40
qqq_max_1m_ret,qqq_primary,2.110500,1.856300,0.254300,41
move_logret_5d,volatility_regime,2.110500,1.864800,0.245800,42
qqq_logret_252d,qqq_primary,2.110500,1.865800,0.244800,43
qqq_dist_52w_low,qqq_primary,2.110500,1.865800,0.244800,44
qqq_mom_9m,qqq_primary,2.110500,1.865800,0.244800,45
qqq_mom_12m,qqq_primary,2.110500,1.865800,0.244800,46
tip_logret_5d,bonds_credit,2.110500,1.865800,0.244800,47
xlu_ma20_z,sectors,2.110500,1.867100,0.243400,48
vix,volatility_regime,2.110500,1.867300,0.243300,49
agg_logret_5d,bonds_credit,2.110500,1.871400,0.239200,50
xle_logret_1d,sectors,2.110500,1.872700,0.237900,51
month_sin,calendar,2.110500,1.877700,0.232900,52
xly_ma20_z,sectors,2.110500,1.882700,0.227800,53
dxy_logret_5d,fx_macro,2.110500,1.890500,0.220000,54
xlb_logret_5d,sectors,2.110500,1.895600,0.215000,55
ief_logret_20d,bonds_credit,2.110500,1.905000,0.205600,56
xlv_logret_20d,sectors,2.110500,1.906900,0.203700,57
ibb_logret_5d,industry_tilts,2.110500,1.919900,0.190600,58
xle_logret_20d,sectors,2.110500,1.931800,0.178700,59
spy_logret_5d,benchmarks,2.110500,1.940000,0.170600,60
qqq_rev_1m,qqq_primary,2.110500,1.940100,0.170400,61
qqq_rsi28,qqq_primary,2.110500,1.946500,0.164100,62
tlt_logret_20d,bonds_credit,2.110500,1.946800,0.163700,63
qqq_amihud_20d,qqq_primary,2.110500,1.947700,0.162900,64
eurusd_logret_1d,fx_macro,2.110500,1.959800,0.150700,65
dxy_logret_20d,fx_macro,2.110500,1.960300,0.150300,66
qqq_logret_1d,qqq_primary,2.110500,1.974100,0.136400,67
