date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,1,-0.000064,0.200000,-0.000013,-0.000013,-0.000064
2025-12-26,-1,-0.004852,-0.200000,0.000970,0.000958,-0.004916
2025-12-29,-1,-0.002322,-0.200000,0.000464,0.001422,-0.007238
2025-12-30,-1,-0.008300,-0.200000,0.001660,0.003082,-0.015538
2025-12-31,1,-0.001939,0.200000,-0.000388,0.002694,-0.017477
2026-01-02,5,0.007912,1.000000,0.007912,0.010606,-0.009565
2026-01-05,1,0.008748,0.200000,0.001750,0.012356,-0.000817
2026-01-06,1,0.000962,0.200000,0.000192,0.012548,0.000145
2026-01-07,3,-0.005705,0.600000,-0.003423,0.009125,-0.005560
2026-01-08,5,0.009911,1.000000,0.009911,0.019036,0.004351
2026-01-09,5,0.000829,1.000000,0.000829,0.019865,0.005180
2026-01-12,5,-0.001484,1.000000,-0.001484,0.018381,0.003696
2026-01-13,5,-0.010740,1.000000,-0.010740,0.007641,-0.007044
2026-01-14,5,0.003593,1.000000,0.003593,0.011234,-0.003451
2026-01-15,5,-0.000837,1.000000,-0.000837,0.010397,-0.004288
2026-01-16,5,-0.021476,1.000000,-0.021476,-0.011079,-0.025764
2026-01-20,3,0.013428,0.600000,0.008057,-0.003022,-0.012336
2026-01-21,3,0.007243,0.600000,0.004346,0.001324,-0.005093
2026-01-22,1,0.003152,0.200000,0.000630,0.001954,-0.001941
2026-01-23,3,0.004390,0.600000,0.002634,0.004588,0.002449
2026-01-26,1,0.009024,0.200000,0.001805,0.006393,0.011473
2026-01-27,5,0.003306,1.000000,0.003306,0.009699,0.014779
2026-01-28,5,-0.006003,1.000000,-0.006003,0.003696,0.008776
2026-01-29,-1,-0.012084,-0.200000,0.002417,0.006113,-0.003308
2026-01-30,3,0.006843,0.600000,0.004106,0.010219,0.003535
2026-02-02,1,-0.015483,0.200000,-0.003097,0.007122,-0.011948
2026-02-03,1,-0.017623,0.200000,-0.003525,0.003597,-0.029571
2026-02-04,1,-0.014500,0.200000,-0.002900,0.000697,-0.044071
2026-02-05,3,0.020918,0.600000,0.012551,0.013248,-0.023153
2026-02-06,3,0.007631,0.600000,0.004579,0.017827,-0.015522
2026-02-09,1,-0.004650,0.200000,-0.000930,0.016897,-0.020172
2026-02-10,3,0.002678,0.600000,0.001607,0.018504,-0.017494
2026-02-11,-1,-0.020549,-0.200000,0.004110,0.022613,-0.038043
2026-02-12,-1,0.002129,-0.200000,-0.000426,0.022188,-0.035914
2026-02-13,-3,-0.001031,-0.600000,0.000619,0.022806,-0.036945
2026-02-17,3,0.007439,0.600000,0.004463,0.027270,-0.029506
2026-02-18,-3,-0.003837,-0.600000,0.002302,0.029572,-0.033343
2026-02-19,1,0.008810,0.200000,0.001762,0.031334,-0.024533
2026-02-20,5,-0.012229,1.000000,-0.012229,0.019105,-0.036762
2026-02-23,5,0.010684,1.000000,0.010684,0.029789,-0.026078
2026-02-24,5,0.014389,1.000000,0.014389,0.044178,-0.011689
