date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,1,-0.000064,1.000000,-0.000064,-0.000064,-0.000064
2025-12-26,-1,-0.004852,0.000000,-0.000000,-0.000064,-0.004916
2025-12-29,-1,-0.002322,0.000000,-0.000000,-0.000064,-0.007238
2025-12-30,-1,-0.008300,0.000000,-0.000000,-0.000064,-0.015538
2025-12-31,1,-0.001939,1.000000,-0.001939,-0.002003,-0.017477
2026-01-02,5,0.007912,1.000000,0.007912,0.005909,-0.009565
2026-01-05,1,0.008748,1.000000,0.008748,0.014657,-0.000817
2026-01-06,1,0.000962,1.000000,0.000962,0.015619,0.000145
2026-01-07,3,-0.005705,1.000000,-0.005705,0.009914,-0.005560
2026-01-08,5,0.009911,1.000000,0.009911,0.019825,0.004351
2026-01-09,5,0.000829,1.000000,0.000829,0.020654,0.005180
2026-01-12,5,-0.001484,1.000000,-0.001484,0.019170,0.003696
2026-01-13,5,-0.010740,1.000000,-0.010740,0.008430,-0.007044
2026-01-14,5,0.003593,1.000000,0.003593,0.012023,-0.003451
2026-01-15,5,-0.000837,1.000000,-0.000837,0.011186,-0.004288
2026-01-16,5,-0.021476,1.000000,-0.021476,-0.010290,-0.025764
2026-01-20,3,0.013428,1.000000,0.013428,0.003138,-0.012336
2026-01-21,3,0.007243,1.000000,0.007243,0.010381,-0.005093
2026-01-22,1,0.003152,1.000000,0.003152,0.013533,-0.001941
2026-01-23,3,0.004390,1.000000,0.004390,0.017923,0.002449
2026-01-26,1,0.009024,1.000000,0.009024,0.026947,0.011473
2026-01-27,5,0.003306,1.000000,0.003306,0.030253,0.014779
2026-01-28,5,-0.006003,1.000000,-0.006003,0.024250,0.008776
2026-01-29,-1,-0.012084,0.000000,-0.000000,0.024250,-0.003308
2026-01-30,3,0.006843,1.000000,0.006843,0.031093,0.003535
2026-02-02,1,-0.015483,1.000000,-0.015483,0.015610,-0.011948
2026-02-03,1,-0.017623,1.000000,-0.017623,-0.002013,-0.029571
2026-02-04,1,-0.014500,1.000000,-0.014500,-0.016513,-0.044071
2026-02-05,3,0.020918,1.000000,0.020918,0.004405,-0.023153
2026-02-06,3,0.007631,1.000000,0.007631,0.012036,-0.015522
2026-02-09,1,-0.004650,1.000000,-0.004650,0.007386,-0.020172
2026-02-10,3,0.002678,1.000000,0.002678,0.010064,-0.017494
2026-02-11,-1,-0.020549,0.000000,-0.000000,0.010064,-0.038043
2026-02-12,-1,0.002129,0.000000,0.000000,0.010064,-0.035914
2026-02-13,-3,-0.001031,0.000000,-0.000000,0.010064,-0.036945
2026-02-17,3,0.007439,1.000000,0.007439,0.017503,-0.029506
2026-02-18,-3,-0.003837,0.000000,-0.000000,0.017503,-0.033343
2026-02-19,1,0.008810,1.000000,0.008810,0.026313,-0.024533
2026-02-20,5,-0.012229,1.000000,-0.012229,0.014084,-0.036762
2026-02-23,5,0.010684,1.000000,0.010684,0.024768,-0.026078
2026-02-24,5,0.014389,1.000000,0.014389,0.039157,-0.011689
2026-02-25,5,-0.012138,1.000000,-0.012138,0.027019,-0.023827
2026-02-26,5,-0.003206,1.000000,-0.003206,0.023813,-0.027033
2026-02-27,1,0.001316,1.000000,0.001316,0.025129,-0.025717
2026-03-02,5,-0.010763,1.000000,-0.010763,0.014366,-0.036480
2026-03-03,1,0.015128,1.000000,0.015128,0.029494,-0.021352
2026-03-04,-1,-0.003017,0.000000,-0.000000,0.029494,-0.024369
2026-03-05,-1,-0.015158,0.000000,-0.000000,0.029494,-0.039527
2026-03-06,-1,0.013267,0.000000,0.000000,0.029494,-0.026260
2026-03-09,-3,0.000016,0.000000,0.000000,0.029494,-0.026244
2026-03-10,5,-0.000132,1.000000,-0.000132,0.029362,-0.026376
2026-03-11,-1,-0.017312,0.000000,-0.000000,0.029362,-0.043688
2026-03-12,3,-0.005945,1.000000,-0.005945,0.023417,-0.049633
2026-03-13,5,0.011155,1.000000,0.011155,0.034572,-0.038478
2026-03-16,5,0.004868,1.000000,0.004868,0.039440,-0.033610
2026-03-17,5,-0.014038,1.000000,-0.014038,0.025402,-0.047648
2026-03-18,3,-0.003165,1.000000,-0.003165,0.022237,-0.050813
2026-03-19,-1,-0.018655,0.000000,-0.000000,0.022237,-0.069468
2026-03-20,3,0.011414,1.000000,0.011414,0.033651,-0.058054
2026-03-23,3,-0.006860,1.000000,-0.006860,0.026791,-0.064914
2026-03-24,3,0.006554,1.000000,0.006554,0.033345,-0.058360
2026-03-25,3,-0.024157,1.000000,-0.024157,0.009188,-0.082517
2026-03-26,5,-0.019730,1.000000,-0.019730,-0.010542,-0.102247
2026-03-27,3,-0.007673,1.000000,-0.007673,-0.018215,-0.109920
2026-03-30,5,0.033293,1.000000,0.033293,0.015078,-0.076627
2026-03-31,5,0.012277,1.000000,0.012277,0.027355,-0.064350
2026-04-01,3,0.001146,1.000000,0.001146,0.028501,-0.063204
2026-04-02,3,0.005999,1.000000,0.005999,0.034500,-0.057205
2026-04-06,3,0.000153,1.000000,0.000153,0.034653,-0.057052
2026-04-07,1,0.029299,1.000000,0.029299,0.063952,-0.027753
2026-04-08,3,0.006742,1.000000,0.006742,0.070694,-0.021011
2026-04-09,5,0.001441,1.000000,0.001441,0.072135,-0.019570
2026-04-10,5,0.010289,1.000000,0.010289,0.082424,-0.009281
2026-04-13,5,0.017994,1.000000,0.017994,0.100418,0.008713
2026-04-14,3,0.013902,1.000000,0.013902,0.114320,0.022615
2026-04-15,-1,0.004805,0.000000,0.000000,0.114320,0.027420
2026-04-16,3,0.012999,1.000000,0.012999,0.127319,0.040419
2026-04-17,1,-0.003180,1.000000,-0.003180,0.124139,0.037239
2026-04-20,1,-0.003811,1.000000,-0.003811,0.120328,0.033428
2026-04-21,5,0.016592,1.000000,0.016592,0.136920,0.050020
2026-04-22,5,-0.005649,1.000000,-0.005649,0.131271,0.044371
