date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,1,-0.000064,1.000000,-0.000064,-0.000064,-0.000064
2025-12-26,-1,-0.004852,-1.000000,0.004852,0.004788,-0.004916
2025-12-29,-1,-0.002322,-1.000000,0.002322,0.007110,-0.007238
2025-12-30,-1,-0.008300,-1.000000,0.008300,0.015410,-0.015538
2025-12-31,1,-0.001939,1.000000,-0.001939,0.013471,-0.017477
2026-01-02,5,0.007912,1.000000,0.007912,0.021383,-0.009565
2026-01-05,1,0.008748,1.000000,0.008748,0.030131,-0.000817
2026-01-06,1,0.000962,1.000000,0.000962,0.031093,0.000145
2026-01-07,3,-0.005705,1.000000,-0.005705,0.025388,-0.005560
2026-01-08,5,0.009911,1.000000,0.009911,0.035299,0.004351
2026-01-09,5,0.000829,1.000000,0.000829,0.036128,0.005180
2026-01-12,5,-0.001484,1.000000,-0.001484,0.034644,0.003696
2026-01-13,5,-0.010740,1.000000,-0.010740,0.023904,-0.007044
2026-01-14,5,0.003593,1.000000,0.003593,0.027497,-0.003451
2026-01-15,5,-0.000837,1.000000,-0.000837,0.026660,-0.004288
2026-01-16,5,-0.021476,1.000000,-0.020000,0.006660,-0.025764
2026-01-20,3,0.013428,1.000000,0.013428,0.020088,-0.012336
2026-01-21,3,0.007243,1.000000,0.007243,0.027331,-0.005093
2026-01-22,1,0.003152,1.000000,0.003152,0.030483,-0.001941
2026-01-23,3,0.004390,1.000000,0.004390,0.034873,0.002449
2026-01-26,1,0.009024,1.000000,0.009024,0.043897,0.011473
2026-01-27,5,0.003306,1.000000,0.003306,0.047203,0.014779
2026-01-28,5,-0.006003,1.000000,-0.006003,0.041200,0.008776
2026-01-29,-1,-0.012084,-1.000000,0.012084,0.053284,-0.003308
2026-01-30,3,0.006843,1.000000,0.006843,0.060127,0.003535
2026-02-02,1,-0.015483,1.000000,-0.015483,0.044644,-0.011948
2026-02-03,1,-0.017623,1.000000,-0.017623,0.027021,-0.029571
2026-02-04,1,-0.014500,1.000000,-0.014500,0.012521,-0.044071
2026-02-05,3,0.020918,1.000000,0.020918,0.033439,-0.023153
2026-02-06,3,0.007631,1.000000,0.007631,0.041070,-0.015522
2026-02-09,1,-0.004650,1.000000,-0.004650,0.036420,-0.020172
2026-02-10,3,0.002678,1.000000,0.002678,0.039098,-0.017494
