date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,1,-0.000064,0.000000,-0.000000,-0.000000,-0.000064
2025-12-26,-1,-0.004852,0.000000,-0.000000,-0.000000,-0.004916
2025-12-29,-1,-0.002322,0.000000,-0.000000,-0.000000,-0.007238
2025-12-30,-1,-0.008300,0.000000,-0.000000,-0.000000,-0.015538
2025-12-31,1,-0.001939,0.000000,-0.000000,-0.000000,-0.017477
2026-01-02,5,0.007912,1.500000,0.011868,0.011868,-0.009565
2026-01-05,1,0.008748,0.000000,0.000000,0.011868,-0.000817
2026-01-06,1,0.000962,0.000000,0.000000,0.011868,0.000145
2026-01-07,3,-0.005705,1.000000,-0.005705,0.006163,-0.005560
2026-01-08,5,0.009911,1.500000,0.014866,0.021029,0.004351
2026-01-09,5,0.000829,1.500000,0.001244,0.022273,0.005180
2026-01-12,5,-0.001484,1.500000,-0.002226,0.020047,0.003696
2026-01-13,5,-0.010740,1.500000,-0.016110,0.003937,-0.007044
2026-01-14,5,0.003593,1.500000,0.005390,0.009327,-0.003451
2026-01-15,5,-0.000837,1.500000,-0.001255,0.008071,-0.004288
2026-01-16,5,-0.021476,1.500000,-0.032214,-0.024143,-0.025764
2026-01-20,3,0.013428,1.000000,0.013428,-0.010715,-0.012336
2026-01-21,3,0.007243,1.000000,0.007243,-0.003472,-0.005093
2026-01-22,1,0.003152,0.000000,0.000000,-0.003472,-0.001941
2026-01-23,3,0.004390,1.000000,0.004390,0.000918,0.002449
2026-01-26,1,0.009024,0.000000,0.000000,0.000918,0.011473
2026-01-27,5,0.003306,1.500000,0.004959,0.005877,0.014779
2026-01-28,5,-0.006003,1.500000,-0.009004,-0.003127,0.008776
2026-01-29,-1,-0.012084,0.000000,-0.000000,-0.003127,-0.003308
2026-01-30,3,0.006843,1.000000,0.006843,0.003716,0.003535
2026-02-02,1,-0.015483,0.000000,-0.000000,0.003716,-0.011948
2026-02-03,1,-0.017623,0.000000,-0.000000,0.003716,-0.029571
2026-02-04,1,-0.014500,0.000000,-0.000000,0.003716,-0.044071
2026-02-05,3,0.020918,1.000000,0.020918,0.024634,-0.023153
2026-02-06,3,0.007631,1.000000,0.007631,0.032265,-0.015522
2026-02-09,1,-0.004650,0.000000,-0.000000,0.032265,-0.020172
2026-02-10,3,0.002678,1.000000,0.002678,0.034943,-0.017494
2026-02-11,-1,-0.020549,0.000000,-0.000000,0.034943,-0.038043
2026-02-12,-1,0.002129,0.000000,0.000000,0.034943,-0.035914
2026-02-13,-3,-0.001031,-1.000000,0.001031,0.035973,-0.036945
2026-02-17,3,0.007439,1.000000,0.007439,0.043412,-0.029506
2026-02-18,-3,-0.003837,-1.000000,0.003837,0.047249,-0.033343
2026-02-19,1,0.008810,0.000000,0.000000,0.047249,-0.024533
2026-02-20,5,-0.012229,1.500000,-0.018343,0.028906,-0.036762
2026-02-23,5,0.010684,1.500000,0.016026,0.044932,-0.026078
2026-02-24,5,0.014389,1.500000,0.021584,0.066516,-0.011689
2026-02-25,5,-0.012138,1.500000,-0.018207,0.048309,-0.023827
2026-02-26,5,-0.003206,1.500000,-0.004809,0.043500,-0.027033
2026-02-27,1,0.001316,0.000000,0.000000,0.043500,-0.025717
2026-03-02,5,-0.010763,1.500000,-0.016144,0.027355,-0.036480
2026-03-03,1,0.015128,0.000000,0.000000,0.027355,-0.021352
2026-03-04,-1,-0.003017,0.000000,-0.000000,0.027355,-0.024369
2026-03-05,-1,-0.015158,0.000000,-0.000000,0.027355,-0.039527
2026-03-06,-1,0.013267,0.000000,0.000000,0.027355,-0.026260
2026-03-09,-3,0.000016,-1.000000,-0.000016,0.027339,-0.026244
2026-03-10,5,-0.000132,1.500000,-0.000198,0.027141,-0.026376
2026-03-11,-1,-0.017312,0.000000,-0.000000,0.027141,-0.043688
2026-03-12,3,-0.005945,1.000000,-0.005945,0.021196,-0.049633
2026-03-13,5,0.011155,1.500000,0.016733,0.037929,-0.038478
2026-03-16,5,0.004868,1.500000,0.007302,0.045231,-0.033610
2026-03-17,5,-0.014038,1.500000,-0.021057,0.024174,-0.047648
2026-03-18,3,-0.003165,1.000000,-0.003165,0.021009,-0.050813
2026-03-19,-1,-0.018655,0.000000,-0.000000,0.021009,-0.069468
2026-03-20,3,0.011414,1.000000,0.011414,0.032423,-0.058054
2026-03-23,3,-0.006860,1.000000,-0.006860,0.025563,-0.064914
2026-03-24,3,0.006554,1.000000,0.006554,0.032117,-0.058360
2026-03-25,3,-0.024157,1.000000,-0.024157,0.007960,-0.082517
2026-03-26,5,-0.019730,1.500000,-0.029595,-0.021635,-0.102247
2026-03-27,3,-0.007673,1.000000,-0.007673,-0.029308,-0.109920
2026-03-30,5,0.033293,1.500000,0.049940,0.020631,-0.076627
2026-03-31,5,0.012277,1.500000,0.018416,0.039047,-0.064350
2026-04-01,3,0.001146,1.000000,0.001146,0.040193,-0.063204
2026-04-02,3,0.005999,1.000000,0.005999,0.046192,-0.057205
2026-04-06,3,0.000153,1.000000,0.000153,0.046345,-0.057052
2026-04-07,1,0.029299,0.000000,0.000000,0.046345,-0.027753
2026-04-08,3,0.006742,1.000000,0.006742,0.053087,-0.021011
2026-04-09,5,0.001441,1.500000,0.002162,0.055248,-0.019570
2026-04-10,5,0.010289,1.500000,0.015433,0.070682,-0.009281
2026-04-13,5,0.017994,1.500000,0.026991,0.097673,0.008713
2026-04-14,3,0.013902,1.000000,0.013902,0.111575,0.022615
2026-04-15,-1,0.004805,0.000000,0.000000,0.111575,0.027420
2026-04-16,3,0.012999,1.000000,0.012999,0.124574,0.040419
2026-04-17,1,-0.003180,0.000000,-0.000000,0.124574,0.037239
2026-04-20,1,-0.003811,0.000000,-0.000000,0.124574,0.033428
2026-04-21,5,0.016592,1.500000,0.024888,0.149461,0.050020
2026-04-22,5,-0.005649,1.500000,-0.008474,0.140988,0.044371
