date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,1,-0.000064,0.200000,-0.000013,-0.000013,-0.000064
2025-12-26,-1,-0.004852,-0.200000,0.000970,0.000958,-0.004916
2025-12-29,-1,-0.002322,-0.200000,0.000464,0.001422,-0.007238
2025-12-30,-1,-0.008300,-0.200000,0.001660,0.003082,-0.015538
2025-12-31,1,-0.001939,0.400000,-0.000776,0.002306,-0.017477
2026-01-02,5,0.007912,1.731298,0.013698,0.016004,-0.009565
2026-01-05,1,0.008748,0.298422,0.002611,0.018615,-0.000817
2026-01-06,1,0.000962,0.321653,0.000309,0.018924,0.000145
2026-01-07,3,-0.005705,0.974543,-0.005560,0.013365,-0.005560
2026-01-08,5,0.009911,1.472669,0.014596,0.027960,0.004351
2026-01-09,5,0.000829,1.552035,0.001287,0.029247,0.005180
2026-01-12,5,-0.001484,1.620149,-0.002404,0.026843,0.003696
2026-01-13,5,-0.010740,1.483510,-0.015933,0.010910,-0.007044
2026-01-14,5,0.003593,1.519510,0.005460,0.016369,-0.003451
2026-01-15,5,-0.000837,1.576359,-0.001319,0.015050,-0.004288
2026-01-16,5,-0.021476,1.203932,-0.025856,-0.010806,-0.025764
2026-01-20,3,0.013428,0.672593,0.009032,-0.001774,-0.012336
2026-01-21,3,0.007243,0.675700,0.004894,0.003120,-0.005093
2026-01-22,1,0.003152,0.230688,0.000727,0.003847,-0.001941
2026-01-23,3,0.004390,0.705453,0.003097,0.006944,0.002449
2026-01-26,1,0.009024,0.228272,0.002060,0.009004,0.011473
2026-01-27,5,0.003306,1.152637,0.003811,0.012815,0.014779
2026-01-28,5,-0.006003,1.136198,-0.006821,0.005994,0.008776
2026-01-29,-1,-0.012084,-0.220427,0.002664,0.008658,-0.003308
2026-01-30,3,0.006843,0.654643,0.004480,0.013137,0.003535
2026-02-02,1,-0.015483,0.204414,-0.003165,0.009972,-0.011948
2026-02-03,1,-0.017623,0.193253,-0.003406,0.006567,-0.029571
2026-02-04,1,-0.014500,0.185601,-0.002691,0.003876,-0.044071
2026-02-05,3,0.020918,0.498544,0.010429,0.014304,-0.023153
2026-02-06,3,0.007631,0.503096,0.003839,0.018143,-0.015522
2026-02-09,1,-0.004650,0.167402,-0.000778,0.017365,-0.020172
2026-02-10,3,0.002678,0.500694,0.001341,0.018706,-0.017494
2026-02-11,-1,-0.020549,-0.158023,0.003247,0.021953,-0.038043
2026-02-12,-1,0.002129,-0.158403,-0.000337,0.021616,-0.035914
2026-02-13,-3,-0.001031,-0.475233,0.000490,0.022106,-0.036945
2026-02-17,3,0.007439,0.509690,0.003792,0.025897,-0.029506
2026-02-18,-3,-0.003837,-0.531252,0.002038,0.027936,-0.033343
2026-02-19,1,0.008810,0.175936,0.001550,0.029486,-0.024533
2026-02-20,5,-0.012229,0.860676,-0.010525,0.018960,-0.036762
2026-02-23,5,0.010684,0.839880,0.008973,0.027934,-0.026078
2026-02-24,5,0.014389,0.816536,0.011749,0.039683,-0.011689
