purchase_value,device_id,source,browser,age,ip_address,class,country,time_since_signup,purchase_hour,purchase_dayofweek,signup_hour,device_id_freq,ip_address_freq,country_freq,source_freq,browser_freq,device_fraud_rate_train,country_fraud_rate_train
11.0,14826,2,0,40.0,3685650161.3623295,0,84,1214317.0,7,0,6,1,1,5141,42439,43149,0.09514333342787,0.1207871861641211
53.0,18316,2,0,28.0,2473828886.82644,0,172,2775617.0,7,0,4,1,1,40823,42439,43149,0.09514333342787,0.1160862853923916
9.0,50407,1,0,43.0,38699837.40771821,0,86,277288.0,7,0,2,1,1,64,21461,43149,0.09514333342787,0.0662443478343075
38.0,66395,2,1,35.0,3052467629.24446,1,37,7918081.0,7,0,15,2,1,426,42439,17231,0.3672657143667457,0.0593291415326385
12.0,21977,1,0,43.0,1142269602.8427,0,172,3831526.0,7,0,23,1,1,40823,21461,43149,0.09514333342787,0.1160862853923916
12.0,132607,2,4,38.0,3883660888.10952,0,167,5540155.0,7,0,4,1,1,15338,42439,17196,0.09514333342787,0.1050362288992092
61.0,101506,0,1,36.0,1964306790.47277,0,88,2699718.0,7,0,1,1,1,2872,41879,17231,0.09514333342787,0.1117729787975555
54.0,25571,0,0,42.0,1473300369.03708,0,118,10194622.0,7,0,7,1,1,1152,41879,43149,0.09514333342787,0.0808736905795741
25.0,7791,2,0,22.0,2581465318.86268,0,84,7648773.0,7,0,18,1,1,5141,42439,43149,0.09514333342787,0.1207871861641211
61.0,133429,1,0,25.0,207465319.16926,0,172,6745149.0,7,0,6,1,1,40823,21461,43149,0.09514333342787,0.1160862853923916
37.0,19993,2,2,40.0,3707419896.33651,0,36,3684323.0,7,0,16,1,1,8334,42439,25624,0.09514333342787,0.1040377575249511
29.0,50091,0,0,22.0,3502798526.82381,0,172,673662.0,7,0,12,1,1,40823,41879,43149,0.09514333342787,0.1160862853923916
22.0,53716,2,2,29.0,1278695562.98675,0,172,4981296.0,7,0,16,1,1,40823,42439,25624,0.09514333342787,0.1160862853923916
19.0,107270,1,1,34.0,1302515354.05405,0,118,3286799.0,7,0,6,1,1,1152,21461,17231,0.09514333342787,0.0808736905795741
54.0,54458,2,1,23.0,3358364620.5014,0,176,1715939.0,7,0,11,1,1,166,42439,17231,0.09514333342787,0.1787769590676445
23.0,13146,2,2,23.0,3953384633.39507,0,167,8933984.0,7,0,22,1,1,15338,42439,25624,0.09514333342787,0.1050362288992092
43.0,105172,2,0,30.0,3134067887.45551,0,24,4616356.0,7,0,21,2,1,2068,42439,43149,0.08155142865246,0.1112256922337516
15.0,38668,0,2,40.0,941621688.03513,0,172,7155252.0,7,0,12,1,1,40823,41879,25624,0.09514333342787,0.1160862853923916
