purchase_value,device_id,source,browser,age,ip_address,class,country,time_since_signup,purchase_hour,purchase_dayofweek,signup_hour,device_id_freq,ip_address_freq,country_freq,source_freq,browser_freq,device_fraud_rate_train,country_fraud_rate_train,device_id_count_1d,device_id_count_7d,device_id_count_30d,ip_address_count_1d,ip_address_count_7d,ip_address_count_30d,device_id_fraud_count_7d
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,0,0,0,0,0,0,0
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,1,1,1,1,1,1,1
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,2,2,2,2,2,2,2
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,3,3,3,3,3,3,3
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,4,4,4,4,4,4,4
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,5,5,5,5,5,5,5
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,6,6,6,6,6,6,6
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,7,7,7,7,7,7,7
14.0,5699,0,0,38.0,2001426399.9025,1,88,1.0,0,3,0,10,10,2872,41879,43149,0.638057333371148,0.1117729787975555,8,8,8,8,8,8,8
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,0,0,0,0,0,0,0
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,1,1,1,1,1,1,1
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,2,2,2,2,2,2,2
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,3,3,3,3,3,3,3
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,4,4,4,4,4,4,4
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,5,5,5,5,5,5,5
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,6,6,6,6,6,6,6
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,7,7,7,7,7,7,7
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,8,8,8,8,8,8,8
63.0,20778,2,0,31.0,686082863.051075,1,172,1.0,0,3,0,11,11,40823,42439,43149,0.6606787500354513,0.1160862853923916,9,9,9,9,9,9,9
